Возраст,Пол,Уровень образования,Профессия,Опыт работы,Зарплата,Регион
45.0,мужской,среднее общее,Инженер,15,81882.0,Челябинск
57.0,мужской,среднее общее,,18,29276.0,Новосибирск
22.0,женский,,Дизайнер интерфейсов,38,96405.0,Москва
38.0,мужской,,Инженер-программист,36,59095.0,Санкт-Петербург
19.0,мужской,среднее профессиональное,Дизайнер интерфейсов,36,46455.0,Санкт-Петербург
28.0,мужской,бакалавр,Инженер-программист,35,52212.0,Москва
49.0,мужской,бакалавр,UX-дизайнер,17,84906.0,Санкт-Петербург
20.0,женский,доктор наук,Строитель,35,36258.0,Москва
35.0,женский,среднее общее,Продуктовый менеджер,24,54874.0,Москва
45.0,мужской,,Инженер-программист,9,114093.0,Екатеринбург
53.0,женский,бакалавр,Строитель,21,76921.0,Санкт-Петербург
31.0,женский,доктор наук,Дизайнер интерфейсов,3,57013.0,Москва
31.0,мужской,среднее профессиональное,Девопс инженер,13,42565.0,Нижний Новгород
30.0,женский,доктор наук,Диджитал-маркетолог,25,33882.0,Москва
39.0,женский,бакалавр,Водитель,15,120339.0,
37.0,женский,бакалавр,Инженер-программист,23,72772.0,Екатеринбург
26.0,женский,доктор наук,Дизайнер интерфейсов,4,76669.0,Санкт-Петербург
42.0,мужской,бакалавр,Бизнес-аналитик,10,51689.0,Нижний Новгород
31.0,мужской,среднее профессиональное,Строитель,9,83466.0,Москва
34.0,женский,магистр,Продуктовый менеджер,32,54942.0,Челябинск
33.0,мужской,,Актер,1,50054.0,Санкт-Петербург
28.0,мужской,среднее общее,Инженер-программист,33,45567.0,Санкт-Петербург
48.0,женский,среднее общее,Учитель,8,102599.0,Санкт-Петербург
35.0,мужской,среднее общее,UX-дизайнер,10,20840.0,
26.0,женский,магистр,Водитель,27,59901.0,Москва
60.0,мужской,бакалавр,Аналитик больших данных,30,27935.0,Екатеринбург
19.0,мужской,среднее общее,Дизайнер интерфейсов,12,63329.0,Нижний Новгород
49.0,мужской,магистр,Программист,3,56336.0,Екатеринбург
29.0,мужской,бакалавр,Продуктовый менеджер,38,86821.0,Нижний Новгород
24.0,мужской,бакалавр,Водитель,11,44050.0,Москва
46.0,мужской,доктор наук,Бухгалтер,6,61029.0,Екатеринбург
48.0,мужской,среднее общее,Строитель,16,29289.0,Москва
54.0,мужской,магистр,Инженер-программист,26,58404.0,Москва
35.0,мужской,бакалавр,Диджитал-маркетолог,3,93200.0,Новосибирск
34.0,женский,бакалавр,Дизайнер интерфейсов,3,31000.0,Екатеринбург
32.0,женский,магистр,Водитель,30,45345.0,Москва
29.0,женский,среднее общее,Инженер-программист,8,66534.0,Москва
32.0,женский,среднее общее,Диджитал-маркетолог,26,60595.0,Нижний Новгород
19.0,мужской,магистр,Водитель,33,62415.0,Омск
31.0,мужской,магистр,Продуктовый менеджер,26,31593.0,Москва
52.0,мужской,среднее профессиональное,Бухгалтер,38,28997.0,Казань
36.0,мужской,среднее общее,Актер,32,57485.0,Санкт-Петербург
40.0,мужской,бакалавр,Диджитал-маркетолог,30,30212.0,Новосибирск
32.0,женский,бакалавр,Врач,39,19196.0,Москва
33.0,женский,бакалавр,Актер,7,64193.0,Казань
45.0,мужской,доктор наук,Аналитик больших данных,10,87199.0,Санкт-Петербург
31.0,женский,бакалавр,Программист,8,75905.0,Новосибирск
45.0,женский,бакалавр,Бухгалтер,39,82929.0,Екатеринбург
23.0,женский,магистр,Дизайнер интерфейсов,37,18785.0,Санкт-Петербург
42.0,женский,магистр,Маркетолог,12,89632.0,Санкт-Петербург
